Title,Json_url,Download_Number,published_date,updated_date
Farmers Queries in Kisan Call Centre (KCC) from Ahmadabad district of Gujarat for the month of December 2009,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=12&Year=2009,1,05/12/2018,05/12/2018
Farmers Queries in Kisan Call Centre (KCC) from Ahmadabad district of Gujarat for the month of April 2009,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=4&Year=2009,1,05/12/2018,05/12/2018
Farmers Queries in Kisan Call Centre (KCC) from Ahmadabad district of Gujarat for the month of June 2009,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=6&Year=2009,1,05/12/2018,05/12/2018
Farmers Queries in Kisan Call Centre (KCC) from Ahmadabad district of Gujarat for the month of August 2009,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=8&Year=2009,1,05/12/2018,05/12/2018
Farmers Queries in Kisan Call Centre (KCC) from AHMADABAD district of GUJARAT for the month of February 2019,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=2&Year=2019,2,04/02/2019,04/02/2019
Farmers Queries in Kisan Call Centre (KCC) from AHMADABAD district of GUJARAT for the month of October 2019,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=10&Year=2019,2,01/10/2019,01/10/2019
Farmers Queries in Kisan Call Centre (KCC) from AHMADABAD district of GUJARAT for the month of November 2019,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=11&Year=2019,2,01/11/2019,01/11/2019
Farmers Queries in Kisan Call Centre (KCC) from ANAND district of GUJARAT for the month of September 2019,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0425&Month=9&Year=2019,2,02/09/2019,02/09/2019
Farmers Queries in Kisan Call Centre (KCC) from Aravalli district of GUJARAT for the month of November 2019,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0421&Month=11&Year=2019,3,01/11/2019,01/11/2019
Farmers Queries in Kisan Call Centre (KCC) from Bhavnagar district of Gujarat for the month of March 2009,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0414&Month=3&Year=2009,1,05/12/2018,05/12/2018
Farmers Queries in Kisan Call Centre (KCC) from Bhavnagar district of Gujarat for the month of July 2009,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0414&Month=7&Year=2009,1,05/12/2018,05/12/2018
Farmers Queries in Kisan Call Centre (KCC) from Amreli district of Gujarat for the month of April 2009,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0413&Month=4&Year=2009,1,05/12/2018,05/12/2018
Farmers Queries in Kisan Call Centre (KCC) from CHHOTA UDAIPUR district of GUJARAT for the month of April 2019,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0429&Month=4&Year=2019,4,01/04/2019,01/04/2019
Farmers Queries in Kisan Call Centre (KCC) from CHHOTA UDAIPUR district of GUJARAT for the month of June 2019,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0429&Month=6&Year=2019,4,03/06/2019,03/06/2019
Farmers Queries in Kisan Call Centre (KCC) from CHHOTA UDAIPUR district of GUJARAT for the month of September 2019,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0429&Month=9&Year=2019,3,02/09/2019,02/09/2019
Farmers Queries in Kisan Call Centre (KCC) from ANAND district of GUJARAT for the month of February 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0425&Month=2&Year=2020,0,16/06/2020,16/06/2020
Farmers Queries in Kisan Call Centre (KCC) from ANAND district of GUJARAT for the month of April 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0425&Month=4&Year=2020,0,24/06/2020,24/06/2020
Farmers Queries in Kisan Call Centre (KCC) from ANAND district of GUJARAT for the month of May 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0425&Month=5&Year=2020,0,29/06/2020,29/06/2020
Farmers Queries in Kisan Call Centre (KCC) from ANAND district of GUJARAT for the month of July 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0425&Month=7&Year=2020,0,02/07/2020,02/07/2020
Farmers Queries in Kisan Call Centre (KCC) from ANAND district of GUJARAT for the month of August 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0425&Month=8&Year=2020,0,05/08/2020,04/09/2020
Farmers Queries in Kisan Call Centre (KCC) from Botad district of GUJARAT for the month of March 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=3&Year=2020,0,23/06/2020,23/06/2020
Farmers Queries in Kisan Call Centre (KCC) from Aravalli district of GUJARAT for the month of April 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0421&Month=4&Year=2020,0,24/06/2020,24/06/2020
Farmers Queries in Kisan Call Centre (KCC) from Aravalli district of GUJARAT for the month of June 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0421&Month=6&Year=2020,0,17/06/2020,17/06/2020
Farmers Queries in Kisan Call Centre (KCC) from Aravalli district of GUJARAT for the month of September 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0421&Month=9&Year=2020,0,01/09/2020,03/09/2020
Farmers Queries in Kisan Call Centre (KCC) from Botad district of GUJARAT for the month of November 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=11&Year=2020,0,05/11/2020,05/11/2020
Farmers Queries in Kisan Call Centre (KCC) from BANAS KANTHA district of GUJARAT for the month of May 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0402&Month=5&Year=2020,0,29/06/2020,29/06/2020
Farmers Queries in Kisan Call Centre (KCC) from BANAS KANTHA district of GUJARAT for the month of June 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0402&Month=6&Year=2020,0,17/06/2020,17/06/2020
Farmers Queries in Kisan Call Centre (KCC) from BANAS KANTHA district of GUJARAT for the month of July 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0402&Month=7&Year=2020,0,06/07/2020,06/07/2020
Farmers Queries in Kisan Call Centre (KCC) from BANAS KANTHA district of GUJARAT for the month of August 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0402&Month=8&Year=2020,0,05/08/2020,04/09/2020
Farmers Queries in Kisan Call Centre (KCC) from AHMADABAD district of GUJARAT for the month of November 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=11&Year=2020,0,05/11/2020,05/11/2020
Farmers Queries in Kisan Call Centre (KCC) from BHAVNAGAR district of GUJARAT for the month of June 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0414&Month=6&Year=2020,0,17/06/2020,17/06/2020
Farmers Queries in Kisan Call Centre (KCC) from BHAVNAGAR district of GUJARAT for the month of August 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0414&Month=8&Year=2020,0,05/08/2020,04/09/2020
Farmers Queries in Kisan Call Centre (KCC) from BHAVNAGAR district of GUJARAT for the month of October 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0414&Month=10&Year=2020,0,01/10/2020,01/10/2020
Farmers Queries in Kisan Call Centre (KCC) from AMRELI district of GUJARAT for the month of April 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0413&Month=4&Year=2020,1,24/06/2020,24/06/2020
Farmers Queries in Kisan Call Centre (KCC) from AMRELI district of GUJARAT for the month of August 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0413&Month=8&Year=2020,0,05/08/2020,04/09/2020
Farmers Queries in Kisan Call Centre (KCC) from BHARUCH district of GUJARAT for the month of April 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0404&Month=4&Year=2020,0,24/06/2020,24/06/2020
Farmers Queries in Kisan Call Centre (KCC) from CHHOTA UDAIPUR district of GUJARAT for the month of April 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0429&Month=4&Year=2020,0,24/06/2020,24/06/2020
Farmers Queries in Kisan Call Centre (KCC) from CHHOTA UDAIPUR district of GUJARAT for the month of June 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0429&Month=6&Year=2020,0,17/06/2020,17/06/2020
Farmers Queries in Kisan Call Centre (KCC) from ANAND district of GUJARAT for the month of December 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0425&Month=12&Year=2020,0,01/12/2020,02/12/2020
Farmers Queries in Kisan Call Centre (KCC) from AMRELI district of GUJARAT for the month of January 2022,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0413&Month=1&Year=2022,0,21/01/2022,27/01/2022
Farmers Queries in Kisan Call Centre (KCC) from AHMADABAD district of GUJARAT for the month of September 2020,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=9&Year=2020,0,01/09/2020,04/09/2020
Farmers Queries in Kisan Call Centre (KCC) from BANAS KANTHA district of GUJARAT for the month of June 2021,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0402&Month=6&Year=2021,1,01/06/2021,01/06/2021
Farmers Queries in Kisan Call Centre (KCC) from AHMADABAD district of GUJARAT for the month of May 2021,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=5&Year=2021,2,03/05/2021,03/05/2021
Farmers Queries in Kisan Call Centre (KCC) from Aravalli district of GUJARAT for the month of January 2021,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0421&Month=1&Year=2021,0,18/01/2021,18/01/2021
Farmers Queries in Kisan Call Centre (KCC) from ANAND district of GUJARAT for the month of June 2021,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0425&Month=6&Year=2021,0,01/06/2021,01/06/2021
Farmers Queries in Kisan Call Centre (KCC) from Botad district of GUJARAT for the month of October 2021,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=10&Year=2021,0,01/10/2021,01/10/2021
Farmers Queries in Kisan Call Centre (KCC) from Botad district of GUJARAT for the month of December 2021,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=12&Year=2021,0,06/12/2021,06/03/2022
Farmers Queries in Kisan Call Centre (KCC) from Aravalli district of GUJARAT for the month of March 2021,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0421&Month=3&Year=2021,1,01/03/2021,01/03/2021
Farmers Queries in Kisan Call Centre (KCC) from BHARUCH district of GUJARAT for the month of April 2021,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0404&Month=4&Year=2021,0,01/04/2021,01/04/2021
